String,Trigger
Turn on the lights,#LIGHTS_ON
Switch on the light,#LIGHTS_ON
Bring the lights on,#LIGHTS_ON
Light up the room,#LIGHTS_ON
Wake up light,#LIGHTS_ON
Wake up light,#LIGHTS_ON
Wake up light,#LIGHTS_ON
Wake up light,#LIGHTS_ON
Get the lights running,#LIGHTS_ON
Get the lights running,#LIGHTS_ON
Get the lights running,#LIGHTS_ON
Get the lights running,#LIGHTS_ON
Turn the lights on,#LIGHTS_ON
Switch the light on,#LIGHTS_ON
Turn on the bulb,#LIGHTS_ON
Light up the bulb,#LIGHTS_ON
Turn the bulb on,#LIGHTS_ON
Switch on the bulb,#LIGHTS_ON
Bring in the lights,#LIGHTS_ON
Bring in the lights,#LIGHTS_ON
Bring in the lights,#LIGHTS_ON
Bring the bulb on up,#LIGHTS_ON
Lights in,#LIGHTS_ON
Light up,#LIGHTS_ON
Brighten up the room,#LIGHTS_ON
Brighten up the room,#LIGHTS_ON
Brighten up the room,#LIGHTS_ON
Brighten up the room,#LIGHTS_ON
Bulb on,#LIGHTS_ON
Put on the lights,#LIGHTS_ON
Make it bright,#LIGHTS_ON
Make it bright,#LIGHTS_ON
Make it bright,#LIGHTS_ON
Make it bright,#LIGHTS_ON
Lights on,#LIGHTS_ON
Brighten the light to full,#LIGHTS_ON
Brighten the light to full,#LIGHTS_ON
I want to wake up,#LIGHTS_ON
I want to wake up,#LIGHTS_ON
I want to wake up,#LIGHTS_ON
I want to wake up,#LIGHTS_ON
I need to wake up,#LIGHTS_ON
I need to wake up,#LIGHTS_ON
I need to wake up,#LIGHTS_ON
I am awake,#LIGHTS_ON
I am awake,#LIGHTS_ON
I am awake,#LIGHTS_ON
Enough sleep for today,#LIGHTS_ON
Enough sleep for today,#LIGHTS_ON
Enough sleep for today,#LIGHTS_ON
Enough sleep for today,#LIGHTS_ON
It is time to get up,#LIGHTS_ON
It is time to get up,#LIGHTS_ON
It is time to get up,#LIGHTS_ON
Put up the lights,#LIGHTS_ON
Plug on the lights,#LIGHTS_ON
Light up the room,#LIGHTS_ON
Illuminate the room,#LIGHTS_ON
Illuminate the room,#LIGHTS_ON
Illuminate the room,#LIGHTS_ON
start lights,#LIGHTS_ON
Turn off the lights,#LIGHTS_OFF
Switch off the light,#LIGHTS_OFF
Bring down the lights,#LIGHTS_OFF
Darken up the room,#LIGHTS_OFF
Darken up the room,#LIGHTS_OFF
Darken up the room,#LIGHTS_OFF
Darken up the room,#LIGHTS_OFF
I want to sleep,#LIGHTS_OFF
I want to sleep,#LIGHTS_OFF
I want to sleep,#LIGHTS_OFF
I want to sleep,#LIGHTS_OFF
Get the lights switched off,#LIGHTS_OFF
Turn the lights off,#LIGHTS_OFF
Switch the light off,#LIGHTS_OFF
Turn off the bulb,#LIGHTS_OFF
Dim the room,#LIGHTS_OFF
Dim the room,#LIGHTS_OFF
Dim the room,#LIGHTS_OFF
Dim the room,#LIGHTS_OFF
Turn the bulb off,#LIGHTS_OFF
Switch off the bulb,#LIGHTS_OFF
Bring up the darkness,#LIGHTS_OFF
Bring up the darkness,#LIGHTS_OFF
Bring up the darkness,#LIGHTS_OFF
Bring up the darkness,#LIGHTS_OFF
Dark and darken,#LIGHTS_OFF
Dark and darken,#LIGHTS_OFF
Dark and darken,#LIGHTS_OFF
Dark and darken,#LIGHTS_OFF
Black out,#LIGHTS_OFF
Black out,#LIGHTS_OFF
Black out,#LIGHTS_OFF
Black out,#LIGHTS_OFF
Lights out,#LIGHTS_OFF
Light off,#LIGHTS_OFF
Bulb off,#LIGHTS_OFF
Put off the lights,#LIGHTS_OFF
Dim the lights,#LIGHTS_OFF
Turn lights off,#LIGHTS_OFF
Dim the light to zero,#LIGHTS_OFF
Dim the light to zero,#LIGHTS_OFF
Dim the light to zero,#LIGHTS_OFF
Dim the light to zero,#LIGHTS_OFF
I am feeling sleepy,#LIGHTS_OFF
I am feeling sleepy,#LIGHTS_OFF
I am feeling sleepy,#LIGHTS_OFF
I need to sleep now,#LIGHTS_OFF
I need to sleep now,#LIGHTS_OFF
I need to sleep now,#LIGHTS_OFF
I need to sleep now,#LIGHTS_OFF
I need some rest,#LIGHTS_OFF
I need some rest,#LIGHTS_OFF
I need some rest,#LIGHTS_OFF
I need some rest,#LIGHTS_OFF
Goodnight,#LIGHTS_OFF
Goodnight,#LIGHTS_OFF
Goodnight,#LIGHTS_OFF
Shut off the lights,#LIGHTS_OFF
Put down the lights,#LIGHTS_OFF
Stop lights,#LIGHTS_OFF
Make it dark,#LIGHTS_OFF
Make it dark,#LIGHTS_OFF
Unplug the light,#LIGHTS_OFF
Unplug the light,#LIGHTS_OFF
Unplug the light,#LIGHTS_OFF
Turn out the light,#LIGHTS_OFF
Turn on the fan,#FAN_ON
Switch on the fan,#FAN_ON
Spin the fan,#FAN_ON
Spin the fan,#FAN_ON
Spin the fan,#FAN_ON
Start the fan,#FAN_ON
Start the fan,#FAN_ON
Start the fan,#FAN_ON
I want some wind,#FAN_ON
I want some wind,#FAN_ON
I want some wind,#FAN_ON
I want some wind,#FAN_ON
Get in some air,#FAN_ON
Get in some air,#FAN_ON
Get in some air,#FAN_ON
Get in some air,#FAN_ON
Im feeling sweaty,#FAN_ON
Im feeling sweaty,#FAN_ON
Im feeling sweaty,#FAN_ON
Im feeling sweaty,#FAN_ON
"Im feeling hot, give me some breeze",#FAN_ON
"Im feeling hot, give me some breeze",#FAN_ON
"Im feeling hot, give me some breeze",#FAN_ON
"Im feeling hot, give me some breeze",#FAN_ON
Please switch on the fan,#FAN_ON
Switch on the fan,#FAN_ON
Speed up the fan,#FAN_ON
Get the fan,#FAN_ON
Get the fan,#FAN_ON
Get the fan,#FAN_ON
Get the fan,#FAN_ON
Blow some wind,#FAN_ON
Blow some wind,#FAN_ON
Blow some wind,#FAN_ON
Blow some wind,#FAN_ON
Fan on please,#FAN_ON
Turn fan on,#FAN_ON
Air in,#FAN_ON
Air in,#FAN_ON
Air in,#FAN_ON
Turn on the fan,#FAN_ON
Start the supply of electricity to fan,#FAN_ON
Start the supply of electricity to fan,#FAN_ON
Start the supply of electricity to fan,#FAN_ON
Start the supply of electricity to fan,#FAN_ON
Bring on the fan,#FAN_ON
Bring on the fan,#FAN_ON
Put up the fan,#FAN_ON
Plug on the fan,#FAN_ON
I am feeling hot,#FAN_ON
I am feeling hot,#FAN_ON
I am feeling hot,#FAN_ON
I am feeling hot,#FAN_ON
I need some cool air,#FAN_ON
I need some cool air,#FAN_ON
I need some cool air,#FAN_ON
I need some cool air,#FAN_ON
Activate the fan,#FAN_ON
Activate the fan,#FAN_ON
Activate the fan,#FAN_ON
Activate the fan,#FAN_ON
Cool down the room,#FAN_ON
Cool down the room,#FAN_ON
Cool down the room,#FAN_ON
Cool down the room,#FAN_ON
I want some air,#FAN_ON
Turn off the fan,#FAN_OFF
Stop the fan,#FAN_OFF
Stop the fan,#FAN_OFF
Stop the fan,#FAN_OFF
Turn the fan off,#FAN_OFF
Switch off the fan,#FAN_OFF
Im feeling cold,#FAN_OFF
Im feeling cold,#FAN_OFF
Im feeling cold,#FAN_OFF
Please switch off the fan,#FAN_OFF
Off the fan,#FAN_OFF
Put off the fan,#FAN_OFF
Fans out,#FAN_OFF
Fans out,#FAN_OFF
Fans out,#FAN_OFF
Turn fan off,#FAN_OFF
Fan off,#FAN_OFF
Air out,#FAN_OFF
Air out,#FAN_OFF
Air out,#FAN_OFF
Stop supplying electricity to fan,#FAN_OFF
Stop supplying electricity to fan,#FAN_OFF
Stop supplying electricity to fan,#FAN_OFF
Stop supplying electricity to fan,#FAN_OFF
Turn off fan,#FAN_OFF
Shut down the fan,#FAN_OFF
Put down the fan,#FAN_OFF
Unplug the fan,#FAN_OFF
Unplug the fan,#FAN_OFF
Unplug the fan,#FAN_OFF
Plug off the fan,#FAN_OFF
Turn off the fan,#FAN_OFF
I am feeling cold here,#FAN_OFF
I am feeling cold here,#FAN_OFF
I am feeling cold here,#FAN_OFF
I need some hotness,#FAN_OFF
I need some hotness,#FAN_OFF
I need some hotness,#FAN_OFF
Deactivate the fan,#FAN_OFF
Deactivate the fan,#FAN_OFF
Deactivate the fan,#FAN_OFF
Deactivate the fan,#FAN_OFF
Heat the room,#FAN_OFF
Heat the room,#FAN_OFF
Heat the room,#FAN_OFF
Slow down the fan,#FAN_OFF
Slow down the fan,#FAN_OFF
Slow down the fan,#FAN_OFF
Let the room get warm,#FAN_OFF
"It is cold, make me warm",#FAN_OFF
Let the room get warm,#FAN_OFF
"It is cold, make me warm",#FAN_OFF
Open the door,#DOOR_OPEN
Push the door back,#DOOR_OPEN
Push the door back,#DOOR_OPEN
Push the door back,#DOOR_OPEN
Push the door back,#DOOR_OPEN
Unlock the door,#DOOR_OPEN
Unlock the door,#DOOR_OPEN
Unlock the door,#DOOR_OPEN
See who is outside,#DOOR_OPEN
See who is outside,#DOOR_OPEN
See who is outside,#DOOR_OPEN
grab the door,#DOOR_OPEN
grab the door,#DOOR_OPEN
grab the door,#DOOR_OPEN
I want to go out,#DOOR_OPEN
I want to go out,#DOOR_OPEN
I want to go out,#DOOR_OPEN
Please Unlatch the doors,#DOOR_OPEN
Please Unlatch the doors,#DOOR_OPEN
Please Unlatch the doors,#DOOR_OPEN
My friend is at the door,#DOOR_OPEN
My friend is at the door,#DOOR_OPEN
My friend is at the door,#DOOR_OPEN
just open the door,#DOOR_OPEN
open up doors,#DOOR_OPEN
Unlock all entries,#DOOR_OPEN
Unlock all entries,#DOOR_OPEN
Unlock all entries,#DOOR_OPEN
Could you answer that door,#DOOR_OPEN
Could you answer that door,#DOOR_OPEN
Could you answer that door,#DOOR_OPEN
Someone known is outside the door,#DOOR_OPEN
Someone known is outside the door,#DOOR_OPEN
Someone known is outside the door,#DOOR_OPEN
Let everyone come inside,#DOOR_OPEN
Let everyone come inside,#DOOR_OPEN
Let everyone come inside,#DOOR_OPEN
please unlock the door,#DOOR_OPEN
open my door,#DOOR_OPEN
Door open,#DOOR_OPEN
answer the door,#DOOR_OPEN
Open entries,#DOOR_OPEN
Open entries,#DOOR_OPEN
opening doors,#DOOR_OPEN
Attend the door,#DOOR_OPEN
Attend the door,#DOOR_OPEN
Attend the door,#DOOR_OPEN
get that door open,#DOOR_OPEN
Keep the door open,#DOOR_OPEN
you open that door,#DOOR_OPEN
open house,#DOOR_OPEN
open house,#DOOR_OPEN
Could you attend the door,#DOOR_OPEN
Unlatch the door,#DOOR_OPEN
open the goddamn door,#DOOR_OPEN
Close the door,#DOOR_CLOSE
Lock house,#DOOR_CLOSE
Lock house,#DOOR_CLOSE
Seal that door,#DOOR_CLOSE
Seal that door,#DOOR_CLOSE
Seal that door,#DOOR_CLOSE
Lock the door,#DOOR_CLOSE
Lock the door,#DOOR_CLOSE
Push the door front,#DOOR_CLOSE
Push the door front,#DOOR_CLOSE
Push the door front,#DOOR_CLOSE
Block all entries,#DOOR_CLOSE
Block all entries,#DOOR_CLOSE
Block all entries,#DOOR_CLOSE
Keep the doors locked,#DOOR_CLOSE
Will you latch our doors,#DOOR_CLOSE
Will you latch our doors,#DOOR_CLOSE
Will you latch our doors,#DOOR_CLOSE
Secure the grid,#DOOR_CLOSE
Secure the grid,#DOOR_CLOSE
Secure the grid,#DOOR_CLOSE
Shut the door,#DOOR_CLOSE
close the door,#DOOR_CLOSE
Lock all entries,#DOOR_CLOSE
Do not let anyone in,#DOOR_CLOSE
Lock all entries,#DOOR_CLOSE
Do not let anyone in,#DOOR_CLOSE
Do not let anyone in,#DOOR_CLOSE
Do not let the dog go outside,#DOOR_CLOSE
Do not let the dog go outside,#DOOR_CLOSE
Do not let the dog go outside,#DOOR_CLOSE
Latch the door,#DOOR_CLOSE
Latch the door,#DOOR_CLOSE
"Secure, lock and close all doors",#DOOR_CLOSE
"Secure, lock and close all doors",#DOOR_CLOSE
Guard the door,#DOOR_CLOSE
Guard the door,#DOOR_CLOSE
Leave the door unattended,#DOOR_CLOSE
Leave the door unattended,#DOOR_CLOSE
Leave the door unattended,#DOOR_CLOSE
Door close,#DOOR_CLOSE
Will you safeguard my door,#DOOR_CLOSE
Will you safeguard my door,#DOOR_CLOSE
Will you safeguard my door,#DOOR_CLOSE
Guard the door,#DOOR_CLOSE
Guard the door,#DOOR_CLOSE
can you close the door,#DOOR_CLOSE
Keep the door closed,#DOOR_CLOSE
Closing all doors,#DOOR_CLOSE
Seal all entries,#DOOR_CLOSE
Seal all entries,#DOOR_CLOSE
Seal all entries,#DOOR_CLOSE
Close door,#DOOR_CLOSE
Secure and lock the door,#DOOR_CLOSE
Can you shut the doors please,#DOOR_CLOSE
Would you slam that door,#DOOR_CLOSE
Would you slam that door,#DOOR_CLOSE
Slam the door,#DOOR_CLOSE
Slam the door,#DOOR_CLOSE
Will you seal the house,#DOOR_CLOSE
latch the goddamn door,#DOOR_CLOSE
latch the goddamn door,#DOOR_CLOSE
Close house,#DOOR_CLOSE
Close house,#DOOR_CLOSE
Close house,#DOOR_CLOSE
Pull off the curtains,#CURTAINS_OPEN
Open the curtains,#CURTAINS_OPEN
Remove the curtains,#CURTAINS_OPEN
Curtains out,#CURTAINS_OPEN
Pull off the curtains,#CURTAINS_OPEN
Open the curtains,#CURTAINS_OPEN
Remove the curtains,#CURTAINS_OPEN
Curtains out,#CURTAINS_OPEN
Fold the curtains,#CURTAINS_OPEN
Fold the curtains,#CURTAINS_OPEN
Fold the curtains,#CURTAINS_OPEN
Fold the curtains,#CURTAINS_OPEN
Roll the curtains,#CURTAINS_OPEN
Roll the curtains,#CURTAINS_OPEN
Roll the curtains,#CURTAINS_OPEN
Roll the curtains,#CURTAINS_OPEN
Please open the curtains,#CURTAINS_OPEN
Open the blinds,#CURTAINS_OPEN
Open the blinds,#CURTAINS_OPEN
Open the blinds,#CURTAINS_OPEN
Bring in sunlight,#CURTAINS_OPEN
Let some sunlight in,#CURTAINS_OPEN
Bring in sunlight,#CURTAINS_OPEN
Let some sunlight in,#CURTAINS_OPEN
Bring in sunlight,#CURTAINS_OPEN
Let some sunlight in,#CURTAINS_OPEN
Curtains off,#CURTAINS_OPEN
Show some view,#CURTAINS_OPEN
Show some view,#CURTAINS_OPEN
Show some view,#CURTAINS_OPEN
Show some view,#CURTAINS_OPEN
Open curtains,#CURTAINS_OPEN
Wind up the curtain,#CURTAINS_OPEN
Wind up the curtain,#CURTAINS_OPEN
Wind up the curtain,#CURTAINS_OPEN
Wind up the curtain,#CURTAINS_OPEN
Curtains open,#CURTAINS_OPEN
Open the curtains,#CURTAINS_OPEN
Curtains open,#CURTAINS_OPEN
Open the curtains,#CURTAINS_OPEN
Need some sunlight,#CURTAINS_OPEN
Need some sunlight,#CURTAINS_OPEN
I need some outside light,#CURTAINS_OPEN
I want to see the sunrise,#CURTAINS_OPEN
I want to see the sunset,#CURTAINS_OPEN
I need some outside light,#CURTAINS_OPEN
I want to see the sunrise,#CURTAINS_OPEN
I want to see the sunset,#CURTAINS_OPEN
I need some outside light,#CURTAINS_OPEN
I want to see the sunrise,#CURTAINS_OPEN
I want to see the sunset,#CURTAINS_OPEN
I need some outside light,#CURTAINS_OPEN
I want to see the sunrise,#CURTAINS_OPEN
I want to see the sunset,#CURTAINS_OPEN
Unfurl the curtains,#CURTAINS_OPEN
Unroll the curtains,#CURTAINS_OPEN
Unfurl the curtains,#CURTAINS_OPEN
Unroll the curtains,#CURTAINS_OPEN
Unfurl the curtains,#CURTAINS_OPEN
Unroll the curtains,#CURTAINS_OPEN
Wide open the curtains,#CURTAINS_OPEN
Let the sun rays come inside,#CURTAINS_OPEN
Let the sunlight come in the room,#CURTAINS_OPEN
Let the sunlight brighten the room,#CURTAINS_OPEN
Let the sun rays come inside,#CURTAINS_OPEN
Let the sunlight come in the room,#CURTAINS_OPEN
Let the sunlight brighten the room,#CURTAINS_OPEN
Let the sun rays come inside,#CURTAINS_OPEN
Let the sunlight come in the room,#CURTAINS_OPEN
Let the sunlight brighten the room,#CURTAINS_OPEN
Let the sun rays come inside,#CURTAINS_OPEN
Let the sunlight come in the room,#CURTAINS_OPEN
Let the sunlight brighten the room,#CURTAINS_OPEN
I want some sunlight,#CURTAINS_OPEN
I want to take some fresh air,#CURTAINS_OPEN
Show me the view outside,#CURTAINS_OPEN
Show me the outside view,#CURTAINS_OPEN
Show me the view outside,#CURTAINS_OPEN
Show me the outside view,#CURTAINS_OPEN
Show me the view outside,#CURTAINS_OPEN
Close the curtains,#CURTAINS_CLOSE
Draw the curtains,#CURTAINS_CLOSE
Curtains down,#CURTAINS_CLOSE
Curtains in,#CURTAINS_CLOSE
Please close the curtains,#CURTAINS_CLOSE
Close the curtains,#CURTAINS_CLOSE
Draw the curtains,#CURTAINS_CLOSE
Curtains down,#CURTAINS_CLOSE
Curtains down,#CURTAINS_CLOSE
Close the blinds,#CURTAINS_CLOSE
Block the sunlight,#CURTAINS_CLOSE
Close the blinds,#CURTAINS_CLOSE
Block the sunlight,#CURTAINS_CLOSE
Close the blinds,#CURTAINS_CLOSE
Close the blinds,#CURTAINS_CLOSE
Get the curtains,#CURTAINS_CLOSE
Close curtains,#CURTAINS_CLOSE
Seal the windows,#CURTAINS_CLOSE
Seal the windows,#CURTAINS_CLOSE
Seal the windows,#CURTAINS_CLOSE
Curtains close,#CURTAINS_CLOSE
Close the curtains,#CURTAINS_CLOSE
Turn off the curtain,#CURTAINS_CLOSE
Please seal the curtains,#CURTAINS_CLOSE
Close the curtains,#CURTAINS_CLOSE
It is too sunny outside,#CURTAINS_CLOSE
It is too sunny outside,#CURTAINS_CLOSE
It is too sunny outside,#CURTAINS_CLOSE
It is too bright outside,#CURTAINS_CLOSE
It is too bright outside,#CURTAINS_CLOSE
It is too bright outside,#CURTAINS_CLOSE
It is too bright outside,#CURTAINS_CLOSE
Cover the windows,#CURTAINS_CLOSE
Cover the windows,#CURTAINS_CLOSE
I want curtains down.,#CURTAINS_CLOSE
I do not want to see the outside view,#CURTAINS_CLOSE
I do not want to see the outside view,#CURTAINS_CLOSE
Pull in the curtain screen,#CURTAINS_CLOSE
Roll down the curtains,#CURTAINS_CLOSE
I need only inside light,#CURTAINS_CLOSE
Roll down the curtains,#CURTAINS_CLOSE
I need only inside light,#CURTAINS_CLOSE
I need only inside light,#CURTAINS_CLOSE
Seal the window,#CURTAINS_CLOSE
Fluff the curtains,#CURTAINS_CLOSE
Fluff the curtains,#CURTAINS_CLOSE
Fluff the curtains,#CURTAINS_CLOSE
Fluff the curtains,#CURTAINS_CLOSE
Restrict outside view,#CURTAINS_CLOSE
Block outside view,#CURTAINS_CLOSE
Drape the windows,#CURTAINS_CLOSE
Restrict outside view,#CURTAINS_CLOSE
Block outside view,#CURTAINS_CLOSE
Drape the windows,#CURTAINS_CLOSE
Restrict outside view,#CURTAINS_CLOSE
Block outside view,#CURTAINS_CLOSE
Drape the windows,#CURTAINS_CLOSE
